Report Date:;09.06.2016 14:53:33
Report User Name:;datenlogger
Report Computer Name:;KWB97
Application:;WinSitu.exe
Application Version:;5.6.27.1


Log File Properties
File Name;Hotspot_Tiefwerder_2016-05-24_12-12-45-561.wsl
Create Date;24.05.2016 12:12:41

Device Properties
Device;Aqua TROLL 600 Non-Vented
Site;Tiefwerder_Schildhorn
Device Name; 
Serial Number;451423
Firmware Version;1.30
Hardware Version;3
Device Address;1
Device Comm Cfg;19200,8,Even,1,(Modbus-RTU)
Used Memory;0
Used Battery;6

Log Configuration
;Log Name;Hotspot_Tiefwerder
;Created By;datenlogger
;Computer Name;KWB97
;Application;WinSitu.exe
;Application Version;5.6.27.1
;Create Date;19.05.2016 13:04:07 Mitteleuropäische Zeit
;Log Setup Time Zone;Mitteleuropäische Sommerzeit
;Notes Size(bytes);4096
;Overwrite when full;Disabled
;Scheduled Start Time;20.05.2016 08:00:00 Mitteleuropäische Zeit
;Scheduled Stop Time;No Stop Time
;Type;Linear
 ;Interval;Days: 0 hrs: 00 mins: 10 secs: 00





Other Log Settings

;Specific Conductivity Model:;Standard Methods
;;Reference Temperature:;25
;;Temperature Coefficient:;0.0191

;TDS Factor:;0.65


Log Notes:
Date and Time;Note
19.05.2016 13:02:35;Used Battery: 6% Used Memory: 1%   User Name: datenlogger
22.05.2016 15:51:05;Device Reset
23.05.2016 09:51:23;Device Reset
23.05.2016 09:51:50;Device Reset
23.05.2016 15:34:08;Log Download - Used Battery: 48% Used Memory: 1%   User Name: datenlogger
23.05.2016 22:22:05;Device Reset
23.05.2016 22:24:41;Device Reset
23.05.2016 22:24:50;Device Reset
23.05.2016 22:24:59;Device Reset
23.05.2016 22:25:12;Device Reset
24.05.2016 12:10:10;Log Download - Used Battery: 57% Used Memory: 1%   User Name: datenlogger Interval -  Start Time: 23.05.2016 15:31:50


Log Data:
Record Count;124

Sensors;3

 ,1,442678,Conductivity

 ,2,447325,Rugged Dissolved Oxygen (RDO)

 ,3,446637,Turbidity

Time Zone: Mitteleuropäische Zeit

;;Sensor: Cond                            ;Sensor: Cond                            ;Sensor: Cond                            ;Sensor: Cond                            ;Sensor: Cond                            ;Sensor: Cond                            ;Sensor: RDO                             ;Sensor: RDO                             ;Sensor: Turb                            ;Sensor: Cond                            ;
;Elapsed Time;SN#: 442678                             ;SN#: 442678                             ;SN#: 442678                             ;SN#: 442678                             ;SN#: 442678                             ;SN#: 442678                             ;SN#: 447325                             ;SN#: 447325                             ;SN#: 446637                             ;SN#: 442678                             ;
Date and Time;Seconds     ;Temperature (C)                         ;Actual Conductivity (µS/cm)             ;Specific Conductivity (µS/cm)           ;Total Dissolved Solids (ppt)            ;Resistivity (ohm-cm)                    ;Water Density (g/cm3)                   ;Dissolved Oxygen (concentration) (mg/L) ;Dissolved Oxygen (%saturation) (%Sat)   ;Turbidity (NTU)                         ;Salinity (PSU)                          ;
23.05.2016 15:31:50;       0.000;                                  21.989;                                 850.124;                                 901.993;                                   0.586;                                1176.299;                                   0.998;                                   7.625;                                  85.414;                                   2.280;                                   0.449;
23.05.2016 15:41:50;     600.000;                                  21.958;                                 850.227;                                 902.682;                                   0.587;                                1176.156;                                   0.998;                                   7.760;                                  86.878;                                  27.350;                                   0.449;
23.05.2016 15:51:50;    1200.000;                                  22.020;                                 852.309;                                 903.728;                                   0.587;                                1173.284;                                   0.998;                                   7.757;                                  86.949;                                   6.956;                                   0.450;
23.05.2016 16:01:50;    1800.000;                                  22.240;                                 855.438;                                 903.051;                                   0.587;                                1168.992;                                   0.998;                                   8.073;                                  90.873;                                  23.021;                                   0.449;
23.05.2016 16:11:50;    2400.000;                                  22.323;                                 856.954;                                 903.168;                                   0.587;                                1166.924;                                   0.998;                                   8.248;                                  92.985;                                   8.576;                                   0.449;
23.05.2016 16:21:50;    3000.000;                                  22.279;                                 856.129;                                 903.067;                                   0.587;                                1168.048;                                   0.998;                                   8.135;                                  91.631;                                   5.611;                                   0.449;
23.05.2016 16:31:50;    3600.000;                                  22.289;                                 856.680;                                 903.424;                                   0.587;                                1167.297;                                   0.998;                                   8.053;                                  90.732;                                   9.147;                                   0.449;
23.05.2016 16:41:50;    4200.000;                                  22.238;                                 855.063;                                 902.744;                                   0.587;                                1169.505;                                   0.998;                                   7.962;                                  89.613;                                   3.653;                                   0.449;
23.05.2016 16:51:50;    4800.000;                                  22.158;                                 854.571;                                 903.602;                                   0.587;                                1170.177;                                   0.998;                                   7.867;                                  88.412;                                   4.335;                                   0.449;
