Report Date:;08.04.2014 12:24:28
Report User Name:;miacsomini
Report Computer Name:;KWB45
Application:;WinSitu.exe
Application Version:;5.6.21.0


Log File Properties
File Name;March19_test_Append_2014-04-08_10-00-41-718.wsl
Create Date;08.04.2014 10:00:41

Device Properties
Device;Aqua TROLL 100
Site;Panke Messstelle Bürgerpark
Device Name; 
Serial Number;192791
Firmware Version;1.10
Hardware Version;2
Device Address;1
Device Comm Cfg;19200,8,Even,1,(Modbus-RTU)
Used Memory;26
Used Battery;61

Log Configuration
;Log Name;March19_test
;Created By;miacsomini
;Computer Name;KWB45
;Application;WinSitu.exe
;Application Version;5.6.21.0
;Create Date;19.03.2014 16:04:56 Westeuropäische Normalzeit
;Log Setup Time Zone;Westeuropäische Normalzeit
;Notes Size(bytes);4096
;Overwrite when full;Disabled
;Scheduled Start Time;Manual Start
;Scheduled Stop Time;No Stop Time
;Type;Linear
 ;Interval;Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

;Specific Conductivity Model:;Standard Methods
;;Reference Temperature:;25
;;Temperature Coefficient:;0.0191


Log Notes:
Date and Time;Note
19.03.2014 16:04:59;Sensor SN: 192791  Factory calibration has expired.: 31.07.2012 19:14:39
19.03.2014 16:05:00;Used Battery: 61% Used Memory: 28%   User Name: miacsomini
19.03.2014 16:05:22;Manual Start Command
28.03.2014 10:26:46;Log Download - Used Battery: 61% Used Memory: 28%   User Name: miacsomini
04.04.2014 12:06:06;Log Download - Used Battery: 62% Used Memory: 28%   User Name: miacsomini Interval -  Start Time: 28.03.2014 10:20:22
08.04.2014 10:00:20;Log Download - Used Battery: 62% Used Memory: 28%   User Name: miacsomini Interval -  Start Time: 04.04.2014 12:05:22


Log Data:
Record Count;1892

Sensors;1

 ,1,192791,Conductivity

Time Zone: Westeuropäische Normalzeit/Westeuropäische Sommerzeit

;;Sensor: Cond                  ;Sensor: Cond                  ;Sensor: Cond                  ;
19.03.2014 21:50:22;   20700.000;                       601.928;                         8.762;                       872.540;
19.03.2014 22:05:22;   21600.000;                       601.456;                         8.762;                       871.851;
19.03.2014 22:20:22;   22500.000;                       600.753;                         8.770;                       870.647;
19.03.2014 22:35:22;   23400.000;                       603.411;                         8.712;                       875.895;
19.03.2014 22:50:22;   24300.000;                       602.868;                         8.693;                       875.588;
19.03.2014 23:05:22;   25200.000;                       604.383;                         8.679;                       878.129;
19.03.2014 23:20:22;   26100.000;                       601.436;                         8.653;                       874.471;
19.03.2014 23:35:22;   27000.000;                       600.763;                         8.632;                       874.006;
19.03.2014 23:50:22;   27900.000;                       600.407;                         8.660;                       872.813;
20.03.2014 00:05:22;   28800.000;                       603.732;                         8.623;                       878.550;
20.03.2014 00:20:22;   29700.000;                       599.502;                         8.578;                       873.466;
20.03.2014 00:35:22;   30600.000;                       599.338;                         8.580;                       873.193;
20.03.2014 00:50:22;   31500.000;                       605.760;                         8.538;                       883.582;
20.03.2014 01:05:22;   32400.000;                       603.443;                         8.528;                       880.444;
20.03.2014 01:20:22;   33300.000;                       606.178;                         8.484;                       885.520;
20.03.2014 01:35:22;   34200.000;                       604.829;                         8.504;                       883.054;
20.03.2014 01:50:22;   35100.000;                       606.632;                         8.529;                       885.083;
20.03.2014 02:05:22;   36000.000;                       606.665;                         8.450;                       887.061;
20.03.2014 02:20:22;   36900.000;                       609.734;                         8.429;                       892.095;
20.03.2014 02:35:22;   37800.000;                       608.880;                         8.423;                       890.976;
20.03.2014 02:50:22;   38700.000;                       610.258;                         8.398;                       893.636;
20.03.2014 03:05:22;   39600.000;                       610.492;                         8.396;                       894.026;
20.03.2014 03:20:22;   40500.000;                       612.861;                         8.285;                       900.281;
20.03.2014 03:35:22;   41400.000;                       608.924;                         8.294;                       894.264;
20.03.2014 03:50:22;   42300.000;                       613.904;                         8.288;                       901.730;
20.03.2014 04:05:22;   43200.000;                       612.748;                         8.312;                       899.444;
20.03.2014 04:20:22;   44100.000;                       612.505;                         8.274;                       900.047;
20.03.2014 04:35:22;   45000.000;                       607.640;                         8.312;                       891.939;
20.03.2014 04:50:22;   45900.000;                       604.646;                         8.282;                       888.295;
20.03.2014 05:05:22;   46800.000;                       608.917;                         8.282;                       894.568;
20.03.2014 05:20:22;   47700.000;                       613.205;                         8.186;                       903.300;
20.03.2014 05:35:22;   48600.000;                       607.425;                         8.275;                       892.547;
20.03.2014 05:50:22;   49500.000;                       611.175;                         8.237;                       899.008;
20.03.2014 06:05:22;   50400.000;                       611.371;                         8.262;                       898.670;
20.03.2014 06:20:22;   51300.000;                       614.263;                         8.178;                       905.063;
20.03.2014 06:35:22;   52200.000;                       612.717;                         8.137;                       903.821;
20.03.2014 06:50:22;   53100.000;                       609.927;                         8.095;                       900.772;
20.03.2014 07:05:22;   54000.000;                       614.950;                         8.133;                       907.230;
20.03.2014 07:20:22;   54900.000;                       614.000;                         8.193;                       904.279;
20.03.2014 07:35:22;   55800.000;                       608.984;                         8.175;                       897.351;
20.03.2014 07:50:22;   56700.000;                       615.675;                         8.150;                       907.860;
20.03.2014 08:05:22;   57600.000;                       621.951;                         8.148;                       917.151;
20.03.2014 08:20:22;   58500.000;                       613.589;                         8.256;                       902.097;
20.03.2014 08:35:22;   59400.000;                       619.348;                         8.226;                       911.318;
20.03.2014 08:50:22;   60300.000;                       617.845;                         8.331;                       906.439;
20.03.2014 09:05:22;   61200.000;                       613.917;                         8.413;                       898.615;
20.03.2014 09:20:22;   62100.000;                       617.602;                         8.455;                       902.945;
20.03.2014 09:35:22;   63000.000;                       622.994;                         8.490;                       909.929;
20.03.2014 09:50:22;   63900.000;                       620.211;                         8.618;                       902.637;
20.03.2014 10:05:22;   64800.000;                       623.312;                         8.664;                       905.995;
20.03.2014 10:20:22;   65700.000;                       623.959;                         8.784;                       903.928;
20.03.2014 10:35:22;   66600.000;                       623.523;                         8.876;                       901.011;
20.03.2014 10:50:22;   67500.000;                       627.286;                         8.993;                       903.514;
20.03.2014 11:05:22;   68400.000;                       628.629;                         9.161;                       901.291;
20.03.2014 11:20:22;   69300.000;                       629.843;                         9.298;                       899.646;
20.03.2014 11:35:22;   70200.000;                       622.954;                         9.430;                       886.615;
20.03.2014 11:50:22;   71100.000;                       634.469;                         9.572;                       899.539;
20.03.2014 12:05:22;   72000.000;                       632.093;                         9.683;                       893.491;
20.03.2014 12:20:22;   72900.000;                       631.708;                         9.871;                       888.426;
20.03.2014 12:35:22;   73800.000;                       640.219;                         9.988;                       897.589;
20.03.2014 12:50:22;   74700.000;                       636.640;                        10.112;                       889.611;
20.03.2014 13:05:22;   75600.000;                       635.359;                        10.228;                       885.070;
20.03.2014 13:20:22;   76500.000;                       636.647;                        10.359;                       883.797;
20.03.2014 13:35:22;   77400.000;                       643.829;                        10.519;                       889.986;
20.03.2014 13:50:22;   78300.000;                       643.262;                        10.642;                       886.322;
20.03.2014 14:05:22;   79200.000;                       651.663;                        10.744;                       895.487;
20.03.2014 14:20:22;   80100.000;                       657.024;                        10.861;                       900.112;
20.03.2014 14:35:22;   81000.000;                       655.185;                        10.994;                       894.462;
20.03.2014 14:50:22;   81900.000;                       658.328;                        11.098;                       896.326;
20.03.2014 15:05:22;   82800.000;                       652.604;                        11.176;                       886.747;
20.03.2014 15:20:22;   83700.000;                       663.491;                        11.318;                       898.226;
20.03.2014 15:35:22;   84600.000;                       658.363;                        11.420;                       888.936;
20.03.2014 15:50:22;   85500.000;                       663.137;                        11.493;                       893.693;
20.03.2014 16:05:22;   86400.000;                       650.584;                        11.361;                       879.766;
20.03.2014 16:20:22;   87300.000;                       651.303;                        11.367;                       880.594;
20.03.2014 16:35:22;   88200.000;                       659.374;                        11.330;                       892.359;
20.03.2014 16:50:22;   89100.000;                       654.890;                        11.162;                       890.173;
20.03.2014 17:05:22;   90000.000;                       648.143;                        11.050;                       883.567;
20.03.2014 17:20:22;   90900.000;                       651.276;                        11.062;                       887.549;
20.03.2014 17:35:22;   91800.000;                       641.539;                        10.907;                       877.842;
20.03.2014 17:50:22;   92700.000;                       640.140;                        10.840;                       877.448;
20.03.2014 18:05:22;   93600.000;                       638.323;                        10.559;                       881.452;
20.03.2014 18:20:22;   94500.000;                       638.586;                        10.498;                       883.235;
20.03.2014 18:35:22;   95400.000;                       637.355;                        10.462;                       882.379;
20.03.2014 18:50:22;   96300.000;                       627.969;                        10.386;                       871.120;
20.03.2014 19:05:22;   97200.000;                       626.235;                        10.329;                       870.032;
20.03.2014 19:20:22;   98100.000;                       621.593;                        10.273;                       864.869;
20.03.2014 19:35:22;   99000.000;                       616.268;                        10.205;                       859.022;
20.03.2014 19:50:22;   99900.000;                       609.310;                        10.129;                       851.045;
20.03.2014 20:05:22;  100800.000;                       613.215;                        10.069;                       857.873;
20.03.2014 20:20:22;  101700.000;                       611.396;                        10.013;                       856.594;
20.03.2014 20:35:22;  102600.000;                       609.389;                         9.947;                       855.307;
20.03.2014 20:50:22;  103500.000;                       610.094;                         9.990;                       855.289;
20.03.2014 21:05:22;  104400.000;                       617.070;                        10.026;                       864.249;
20.03.2014 21:20:22;  105300.000;                       615.023;                        10.020;                       861.513;
20.03.2014 21:35:22;  106200.000;                       610.216;                         9.997;                       855.324;
20.03.2014 21:50:22;  107100.000;                       606.415;                         9.999;                       849.938;
20.03.2014 22:05:22;  108000.000;                       612.589;                        10.017;                       858.179;
20.03.2014 22:20:22;  108900.000;                       608.067;                         9.988;                       852.513;
20.03.2014 22:35:22;  109800.000;                       599.090;                         9.879;                       842.377;
20.03.2014 22:50:22;  110700.000;                       602.592;                         9.849;                       847.996;
20.03.2014 23:05:22;  111600.000;                       607.525;                         9.832;                       855.310;
20.03.2014 23:20:22;  112500.000;                       600.756;                         9.795;                       846.642;
20.03.2014 23:35:22;  113400.000;                       595.647;                         9.742;                       840.624;
20.03.2014 23:50:22;  114300.000;                       595.304;                         9.719;                       840.663;
21.03.2014 00:05:22;  115200.000;                       592.850;                         9.705;                       837.526;
21.03.2014 00:20:22;  116100.000;                       597.114;                         9.712;                       843.392;
21.03.2014 00:35:22;  117000.000;                       608.011;                         9.691;                       859.266;
21.03.2014 00:50:22;  117900.000;                       605.410;                         9.647;                       856.591;
21.03.2014 01:05:22;  118800.000;                       597.380;                         9.613;                       846.021;
21.03.2014 01:20:22;  119700.000;                       598.042;                         9.573;                       847.882;
21.03.2014 01:35:22;  120600.000;                       594.464;                         9.565;                       842.985;
21.03.2014 01:50:22;  121500.000;                       589.313;                         9.510;                       836.924;
21.03.2014 02:05:22;  122400.000;                       586.963;                         9.507;                       833.648;
21.03.2014 02:20:22;  123300.000;                       596.294;                         9.499;                       847.084;
21.03.2014 02:35:22;  124200.000;                       596.861;                         9.442;                       849.210;
21.03.2014 02:50:22;  125100.000;                       596.856;                         9.420;                       849.723;
21.03.2014 03:05:22;  126000.000;                       588.596;                         9.400;                       838.415;
21.03.2014 03:20:22;  126900.000;                       592.762;                         9.385;                       844.694;
21.03.2014 03:35:22;  127800.000;                       591.354;                         9.331;                       843.916;
21.03.2014 03:50:22;  128700.000;                       583.580;                         9.286;                       833.857;
21.03.2014 04:05:22;  129600.000;                       598.372;                         9.242;                       856.012;
21.03.2014 04:20:22;  130500.000;                       587.948;                         9.166;                       842.849;
21.03.2014 04:35:22;  131400.000;                       584.557;                         9.145;                       838.483;
21.03.2014 04:50:22;  132300.000;                       584.603;                         9.102;                       839.537;
21.03.2014 05:05:22;  133200.000;                       595.488;                         9.087;                       855.507;
21.03.2014 05:20:22;  134100.000;                       578.270;                         9.075;                       831.038;
21.03.2014 05:35:22;  135000.000;                       592.671;                         9.075;                       851.754;
21.03.2014 05:50:22;  135900.000;                       583.817;                         9.072;                       839.083;
21.03.2014 06:05:22;  136800.000;                       594.888;                         9.067;                       855.115;
21.03.2014 06:20:22;  137700.000;                       604.683;                         9.038;                       869.883;
21.03.2014 06:35:22;  138600.000;                       603.680;                         9.084;                       867.353;
21.03.2014 06:50:22;  139500.000;                       587.138;                         9.086;                       843.549;
21.03.2014 07:05:22;  140400.000;                       589.141;                         9.095;                       846.203;
21.03.2014 07:20:22;  141300.000;                       595.447;                         9.202;                       852.768;
21.03.2014 07:35:22;  142200.000;                       578.435;                         9.307;                       826.023;
21.03.2014 07:50:22;  143100.000;                       590.807;                         9.350;                       842.703;
21.03.2014 08:05:22;  144000.000;                       589.056;                         9.422;                       838.571;
21.03.2014 08:20:22;  144900.000;                       593.739;                         9.515;                       843.091;
21.03.2014 08:35:22;  145800.000;                       599.982;                         9.695;                       847.833;
21.03.2014 08:50:22;  146700.000;                       599.646;                         9.797;                       845.031;
21.03.2014 09:05:22;  147600.000;                       589.094;                         9.894;                       827.992;
21.03.2014 09:20:22;  148500.000;                       587.594;                         9.903;                       825.693;
21.03.2014 09:35:22;  149400.000;                       593.127;                        10.087;                       829.359;
21.03.2014 09:50:22;  150300.000;                       579.613;                        10.233;                       807.314;
21.03.2014 10:05:22;  151200.000;                       591.776;                        10.319;                       822.375;
21.03.2014 10:20:22;  152100.000;                       590.379;                        10.347;                       819.816;
21.03.2014 10:35:22;  153000.000;                       586.635;                        10.489;                       811.577;
21.03.2014 10:50:22;  153900.000;                       589.502;                        10.607;                       812.999;
21.03.2014 11:05:22;  154800.000;                       587.692;                        10.696;                       808.608;
21.03.2014 11:20:22;  155700.000;                       587.968;                        10.796;                       806.869;
21.03.2014 11:35:22;  156600.000;                       594.662;                        10.949;                       812.799;
21.03.2014 11:50:22;  157500.000;                       597.151;                        11.127;                       812.430;
21.03.2014 12:05:22;  158400.000;                       600.740;                        11.178;                       816.219;
21.03.2014 12:20:22;  159300.000;                       592.294;                        11.360;                       800.968;
21.03.2014 12:35:22;  160200.000;                       593.145;                        11.474;                       799.759;
21.03.2014 12:50:22;  161100.000;                       585.039;                        11.635;                       785.582;
21.03.2014 13:05:22;  162000.000;                       590.554;                        11.740;                       790.839;
21.03.2014 13:20:22;  162900.000;                       594.251;                        11.847;                       793.634;
21.03.2014 13:35:22;  163800.000;                       594.620;                        11.983;                       791.368;
21.03.2014 13:50:22;  164700.000;                       593.650;                        12.036;                       789.016;
21.03.2014 14:05:22;  165600.000;                       599.742;                        12.060;                       796.629;
21.03.2014 14:20:22;  166500.000;                       599.848;                        12.259;                       792.767;
21.03.2014 14:35:22;  167400.000;                       599.697;                        12.324;                       791.278;
21.03.2014 14:50:22;  168300.000;                       597.909;                        12.286;                       789.679;
21.03.2014 15:05:22;  169200.000;                       601.506;                        12.540;                       789.355;
21.03.2014 15:20:22;  170100.000;                       600.028;                        12.588;                       786.475;
21.03.2014 15:35:22;  171000.000;                       600.043;                        12.392;                       790.386;
21.03.2014 15:50:22;  171900.000;                       594.766;                        12.501;                       781.283;
21.03.2014 16:05:22;  172800.000;                       585.066;                        12.327;                       771.907;
21.03.2014 16:20:22;  173700.000;                       585.021;                        12.244;                       773.467;
21.03.2014 16:35:22;  174600.000;                       572.973;                        12.059;                       761.096;
21.03.2014 16:50:22;  175500.000;                       555.531;                        12.019;                       738.683;
21.03.2014 17:05:22;  176400.000;                       560.643;                        12.019;                       745.472;
21.03.2014 17:20:22;  177300.000;                       553.704;                        11.911;                       738.271;
21.03.2014 17:35:22;  178200.000;                       542.278;                        11.820;                       724.721;
21.03.2014 17:50:22;  179100.000;                       557.398;                        11.776;                       745.755;
21.03.2014 18:05:22;  180000.000;                       556.721;                        11.733;                       745.674;
21.03.2014 18:20:22;  180900.000;                       562.183;                        11.454;                       758.396;
21.03.2014 18:35:22;  181800.000;                       547.842;                        11.268;                       742.623;
21.03.2014 18:50:22;  182700.000;                       556.433;                        11.136;                       756.846;
21.03.2014 19:05:22;  183600.000;                       544.074;                        11.009;                       742.483;
21.03.2014 19:20:22;  184500.000;                       548.999;                        11.008;                       749.233;
21.03.2014 19:35:22;  185400.000;                       546.431;                        10.917;                       747.497;
21.03.2014 19:50:22;  186300.000;                       551.192;                        10.894;                       754.467;
21.03.2014 20:05:22;  187200.000;                       552.083;                        10.812;                       757.311;
21.03.2014 20:20:22;  188100.000;                       550.187;                        10.668;                       757.571;
21.03.2014 20:35:22;  189000.000;                       543.708;                        10.525;                       751.459;
21.03.2014 20:50:22;  189900.000;                       534.941;                        10.355;                       742.691;
21.03.2014 21:05:22;  190800.000;                       535.963;                        10.063;                       749.918;
21.03.2014 21:20:22;  191700.000;                       528.529;                         9.934;                       742.075;
21.03.2014 21:35:22;  192600.000;                       529.474;                         9.903;                       744.017;
21.03.2014 21:50:22;  193500.000;                       521.475;                         9.750;                       735.802;
21.03.2014 22:05:22;  194400.000;                       522.484;                         9.713;                       737.952;
21.03.2014 22:20:22;  195300.000;                       523.344;                         9.604;                       741.354;
21.03.2014 22:35:22;  196200.000;                       527.023;                         9.683;                       744.963;
21.03.2014 22:50:22;  197100.000;                       524.210;                         9.507;                       744.518;
21.03.2014 23:05:22;  198000.000;                       525.266;                         9.387;                       748.468;
21.03.2014 23:20:22;  198900.000;                       521.396;                         9.175;                       747.253;
21.03.2014 23:35:22;  199800.000;                       512.920;                         9.213;                       734.351;
21.03.2014 23:50:22;  200700.000;                       510.241;                         9.185;                       731.065;
22.03.2014 00:05:22;  201600.000;                       499.391;                         9.084;                       717.503;
22.03.2014 00:20:22;  202500.000;                       493.157;                         8.992;                       710.348;
22.03.2014 00:35:22;  203400.000;                       488.286;                         8.891;                       705.286;
22.03.2014 00:50:22;  204300.000;                       486.486;                         8.813;                       704.198;
22.03.2014 01:05:22;  205200.000;                       476.681;                         8.760;                       691.017;
22.03.2014 01:20:22;  206100.000;                       475.980;                         8.626;                       692.576;
22.03.2014 01:35:22;  207000.000;                       472.502;                         8.549;                       688.989;
22.03.2014 01:50:22;  207900.000;                       468.033;                         8.526;                       682.918;
22.03.2014 02:05:22;  208800.000;                       469.598;                         8.410;                       687.418;
22.03.2014 02:20:22;  209700.000;                       461.205;                         8.535;                       672.788;
22.03.2014 02:35:22;  210600.000;                       461.496;                         8.593;                       672.126;
22.03.2014 02:50:22;  211500.000;                       471.595;                         8.583;                       687.015;
22.03.2014 03:05:22;  212400.000;                       468.553;                         8.603;                       682.217;
22.03.2014 03:20:22;  213300.000;                       465.777;                         8.568;                       678.831;
22.03.2014 03:35:22;  214200.000;                       464.490;                         8.620;                       675.971;
22.03.2014 03:50:22;  215100.000;                       475.092;                         8.628;                       691.248;
22.03.2014 04:05:22;  216000.000;                       466.062;                         8.641;                       677.857;
22.03.2014 04:20:22;  216900.000;                       473.714;                         8.582;                       690.126;
22.03.2014 04:35:22;  217800.000;                       465.512;                         8.636;                       677.168;
22.03.2014 04:50:22;  218700.000;                       457.864;                         8.506;                       668.456;
22.03.2014 05:05:22;  219600.000;                       448.171;                         8.520;                       654.049;
22.03.2014 05:20:22;  220500.000;                       458.389;                         8.462;                       670.040;
22.03.2014 05:35:22;  221400.000;                       448.364;                         8.509;                       654.532;
22.03.2014 05:50:22;  222300.000;                       426.430;                         8.522;                       622.282;
22.03.2014 06:05:22;  223200.000;                       420.116;                         8.494;                       613.538;
22.03.2014 06:20:22;  224100.000;                       415.693;                         8.440;                       608.004;
22.03.2014 06:35:22;  225000.000;                       415.688;                         8.395;                       608.766;
22.03.2014 06:50:22;  225900.000;                       431.735;                         8.489;                       630.606;
22.03.2014 07:05:22;  226800.000;                       411.648;                         8.323;                       604.060;
22.03.2014 07:20:22;  227700.000;                       412.837;                         8.455;                       603.574;
22.03.2014 07:35:22;  228600.000;                       404.821;                         8.501;                       591.085;
22.03.2014 07:50:22;  229500.000;                       419.420;                         8.541;                       611.722;
22.03.2014 08:05:22;  230400.000;                       409.349;                         8.526;                       597.281;
22.03.2014 08:20:22;  231300.000;                       406.787;                         8.533;                       593.433;
22.03.2014 08:35:22;  232200.000;                       421.038;                         8.561;                       613.746;
22.03.2014 08:50:22;  233100.000;                       408.682;                         8.557;                       595.802;
22.03.2014 09:05:22;  234000.000;                       419.459;                         8.667;                       609.646;
22.03.2014 09:20:22;  234900.000;                       429.848;                         8.819;                       622.126;
22.03.2014 09:35:22;  235800.000;                       408.395;                         8.845;                       590.642;
22.03.2014 09:50:22;  236700.000;                       400.815;                         8.926;                       578.386;
22.03.2014 10:05:22;  237600.000;                       409.152;                         9.095;                       587.684;
22.03.2014 10:20:22;  238500.000;                       399.161;                         9.155;                       572.386;
22.03.2014 10:35:22;  239400.000;                       397.725;                         9.276;                       568.451;
22.03.2014 10:50:22;  240300.000;                       384.043;                         9.423;                       546.692;
22.03.2014 11:05:22;  241200.000;                       369.158;                         9.579;                       523.281;
22.03.2014 11:20:22;  242100.000;                       343.890;                         9.732;                       485.456;
22.03.2014 11:35:22;  243000.000;                       296.955;                         9.857;                       417.793;
22.03.2014 11:50:22;  243900.000;                       290.093;                         9.920;                       407.455;
22.03.2014 12:05:22;  244800.000;                       255.269;                         9.920;                       358.539;
22.03.2014 12:20:22;  245700.000;                       248.037;                         9.842;                       349.109;
22.03.2014 12:35:22;  246600.000;                       234.996;                         9.783;                       331.281;
22.03.2014 12:50:22;  247500.000;                       218.582;                         9.766;                       308.282;
22.03.2014 13:05:22;  248400.000;                       212.609;                         9.746;                       300.024;
22.03.2014 13:20:22;  249300.000;                       112.659;                         9.632;                       159.466;
22.03.2014 13:35:22;  250200.000;                       107.869;                         9.559;                       152.988;
22.03.2014 13:50:22;  251100.000;                       109.128;                         9.543;                       154.840;
22.03.2014 14:05:22;  252000.000;                       114.061;                         9.440;                       162.292;
22.03.2014 14:20:22;  252900.000;                       238.218;                         9.416;                       339.177;
22.03.2014 14:35:22;  253800.000;                       258.619;                         9.463;                       367.752;
22.03.2014 14:50:22;  254700.000;                       409.143;                         9.593;                       579.743;
22.03.2014 15:05:22;  255600.000;                       485.554;                         9.887;                       682.586;
22.03.2014 15:20:22;  256500.000;                       472.866;                         9.971;                       663.249;
22.03.2014 15:35:22;  257400.000;                       470.804;                        10.005;                       659.759;
22.03.2014 15:50:22;  258300.000;                       479.645;                         9.968;                       672.811;
22.03.2014 16:05:22;  259200.000;                       502.688;                         9.915;                       706.145;
22.03.2014 16:20:22;  260100.000;                       504.918;                         9.865;                       710.225;
22.03.2014 16:35:22;  261000.000;                       500.527;                         9.841;                       704.511;
22.03.2014 16:50:22;  261900.000;                       493.859;                         9.824;                       695.450;
22.03.2014 17:05:22;  262800.000;                       541.059;                         9.775;                       762.913;
22.03.2014 17:20:22;  263700.000;                       529.834;                         9.766;                       747.269;
22.03.2014 17:35:22;  264600.000;                       458.060;                         9.735;                       646.586;
22.03.2014 17:50:22;  265500.000;                       310.346;                         9.707;                       438.400;
22.03.2014 18:05:22;  266400.000;                       176.002;                         9.664;                       248.917;
22.03.2014 18:20:22;  267300.000;                       122.822;                         9.595;                       174.025;
22.03.2014 18:35:22;  268200.000;                        70.515;                         9.524;                       100.105;
22.03.2014 18:50:22;  269100.000;                        53.925;                         9.449;                        76.710;
22.03.2014 19:05:22;  270000.000;                        32.896;                         9.298;                        46.989;
22.03.2014 19:20:22;  270900.000;                        22.354;                         9.078;                        32.123;
22.03.2014 19:35:22;  271800.000;                        20.938;                         9.040;                        30.120;
22.03.2014 19:50:22;  272700.000;                        20.569;                         9.146;                        29.502;
22.03.2014 20:05:22;  273600.000;                        18.271;                         9.177;                        26.185;
22.03.2014 20:20:22;  274500.000;                        19.356;                         9.200;                        27.723;
22.03.2014 20:35:22;  275400.000;                        16.338;                         9.215;                        23.389;
22.03.2014 20:50:22;  276300.000;                        19.310;                         9.264;                        27.608;
22.03.2014 21:05:22;  277200.000;                        18.370;                         9.245;                        26.277;
22.03.2014 21:20:22;  278100.000;                        20.380;                         9.221;                        29.172;
22.03.2014 21:35:22;  279000.000;                        17.699;                         9.160;                        25.377;
22.03.2014 21:50:22;  279900.000;                        17.934;                         9.091;                        25.763;
22.03.2014 22:05:22;  280800.000;                        19.566;                         8.994;                        28.181;
22.03.2014 22:20:22;  281700.000;                        21.397;                         8.925;                        30.878;
