Report Date:;08.04.2014 12:24:28
Report User Name:;miacsomini
Report Computer Name:;KWB45
Application:;WinSitu.exe
Application Version:;5.6.21.0


Log File Properties
File Name;March19_test_Append_2014-04-08_10-00-41-718.wsl
Create Date;08.04.2014 10:00:41

Device Properties
Device;Aqua TROLL 100
Site;Panke Messstelle Bürgerpark
Device Name; 
Serial Number;192791
Firmware Version;1.10
Hardware Version;2
Device Address;1
Device Comm Cfg;19200,8,Even,1,(Modbus-RTU)
Used Memory;26
Used Battery;61

Log Configuration
;Log Name;March19_test
;Created By;miacsomini
;Computer Name;KWB45
;Application;WinSitu.exe
;Application Version;5.6.21.0
;Create Date;19.03.2014 16:04:56 Westeuropäische Normalzeit
;Log Setup Time Zone;Westeuropäische Normalzeit
;Notes Size(bytes);4096
;Overwrite when full;Disabled
;Scheduled Start Time;Manual Start
;Scheduled Stop Time;No Stop Time
;Type;Linear
 ;Interval;Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

;Specific Conductivity Model:;Standard Methods
;;Reference Temperature:;25
;;Temperature Coefficient:;0.0191


Log Notes:
Date and Time;Note
19.03.2014 16:04:59;Sensor SN: 192791  Factory calibration has expired.: 31.07.2012 19:14:39
19.03.2014 16:05:00;Used Battery: 61% Used Memory: 28%   User Name: miacsomini
19.03.2014 16:05:22;Manual Start Command
28.03.2014 10:26:46;Log Download - Used Battery: 61% Used Memory: 28%   User Name: miacsomini
04.04.2014 12:06:06;Log Download - Used Battery: 62% Used Memory: 28%   User Name: miacsomini Interval -  Start Time: 28.03.2014 10:20:22
08.04.2014 10:00:20;Log Download - Used Battery: 62% Used Memory: 28%   User Name: miacsomini Interval -  Start Time: 04.04.2014 12:05:22


Log Data:
Record Count;1892

Sensors;1

 ,1,192791,Conductivity

Time Zone: Westeuropäische Normalzeit/Westeuropäische Sommerzeit

;;Sensor: Cond                  ;Sensor: Cond                  ;Sensor: Cond                  ;
;Elapsed Time;SN#: 192791                   ;SN#: 192791                   ;SN#: 192791                   ;
Date and Time;Seconds     ;Actual Conductivity (µS)      ;Temperature (C)               ;Specific Conductivity (µS)    ;
19.03.2014 16:05:22;       0.000;                         0.000;                        15.388;                         0.000;
19.03.2014 16:20:22;     900.000;                       594.037;                         9.188;                       851.072;
19.03.2014 16:35:22;    1800.000;                       592.425;                         9.034;                       852.341;
19.03.2014 16:50:22;    2700.000;                       591.354;                         9.014;                       851.265;
19.03.2014 17:05:22;    3600.000;                       592.432;                         9.002;                       853.110;
19.03.2014 17:20:22;    4500.000;                       591.420;                         8.994;                       851.842;
19.03.2014 17:35:22;    5400.000;                       594.062;                         8.980;                       855.972;
19.03.2014 17:50:22;    6300.000;                       594.583;                         8.975;                       856.845;
19.03.2014 18:05:22;    7200.000;                       595.347;                         8.968;                       858.112;
19.03.2014 18:20:22;    8100.000;                       597.244;                         8.949;                       861.303;
19.03.2014 18:35:22;    9000.000;                       597.123;                         8.938;                       861.393;
19.03.2014 18:50:22;    9900.000;                       600.205;                         8.929;                       866.049;
19.03.2014 19:05:22;   10800.000;                       596.419;                         8.929;                       860.576;
19.03.2014 19:20:22;   11700.000;                       592.803;                         8.918;                       855.615;
19.03.2014 19:35:22;   12600.000;                       596.191;                         8.901;                       860.903;
19.03.2014 19:50:22;   13500.000;                       596.069;                         8.885;                       861.115;
19.03.2014 20:05:22;   14400.000;                       598.014;                         8.851;                       864.734;
19.03.2014 20:20:22;   15300.000;                       596.826;                         8.839;                       863.309;
19.03.2014 20:35:22;   16200.000;                       599.885;                         8.840;                       867.703;
19.03.2014 20:50:22;   17100.000;                       592.645;                         8.868;                       856.566;
19.03.2014 21:05:22;   18000.000;                       596.405;                         8.817;                       863.232;
19.03.2014 21:20:22;   18900.000;                       601.019;                         8.786;                       870.643;
19.03.2014 21:35:22;   19800.000;                       601.346;                         8.770;                       871.518;
