Uhrzeit	Druck	
12:34:02	12,15041	
12:34:03	12,08546	
12:34:04	11,98711	
12:34:05	11,92998	
12:34:06	11,84383	
12:34:07	11,71784	
12:34:08	11,41206	
12:34:09	10,98432	
12:34:10	10,66576	
12:34:11	10,41878	
12:34:12	10,26717	
12:34:13	10,17825	
12:34:14	10,12788	
12:34:15	10,09893	
12:34:16	10,07489	
12:34:17	10,05754	
12:34:18	10,04334	
12:34:19	10,04101	
12:34:20	10,17889	
12:34:21	10,4303	
12:34:22	10,6721	
12:34:23	10,86061	
12:34:24	11,00835	
12:34:25	11,11365	
12:34:26	11,18478	
12:34:27	11,22003	
12:34:28	11,25948	
12:34:29	11,30037	
12:34:30	11,35702	
12:34:31	11,39468	
12:34:32	11,43631	
12:34:33	11,45641	
12:34:34	11,4699	
12:34:35	11,48266	
12:34:36	11,49028	
12:34:37	11,51523	
12:34:38	11,54595	
12:34:39	11,5853	
12:34:40	11,62991	
12:34:41	11,66147	
12:34:42	11,68293	
12:34:43	11,6901	
12:34:44	11,69424	
12:34:45	11,70174	
12:34:46	11,71199	
12:34:47	11,72406	
12:34:48	11,73237	
12:34:49	11,73817	
12:34:50	11,7424	
12:34:51	11,74719	
12:34:52	11,75071	
12:34:53	11,75302	
12:34:54	11,75414	
12:34:55	11,75092	
12:34:56	11,75508	
12:34:57	11,75638	
12:34:58	11,75702	
12:34:59	11,75776	
12:35:00	11,75798	
12:35:01	11,75821	
12:35:02	11,74571	
12:35:03	11,70675	
12:35:04	11,68729	
12:35:05	11,67548	
12:35:06	11,6687	
12:35:07	11,66675	
12:35:08	11,66513	
12:35:09	11,66456	
12:35:10	11,66421	
12:35:11	11,66372	
12:35:12	11,66389	
12:35:13	11,66398	
12:35:14	11,66448	
12:35:15	11,66457	
12:35:16	11,66454	
12:35:17	11,66471	
12:35:18	11,66493	
12:35:19	11,66551	
12:35:20	11,66589	
12:35:21	11,66607	
12:35:22	11,66614	
12:35:23	11,66623	
12:35:24	11,66623	
12:35:25	11,66674	
12:35:26	11,66748	
12:35:27	11,66817	
12:35:28	11,66894	
12:35:29	11,66989	
12:35:30	11,67075	
12:35:31	11,67191	
12:35:32	11,67305	
12:35:33	11,67465	
12:35:34	11,67645	
12:35:35	11,67741	
12:35:36	11,67854	
12:35:37	11,67929	
12:35:38	11,67966	
12:35:39	11,6796	
12:35:40	11,67727	
12:35:41	11,68138	
12:35:42	11,67994	
12:35:43	11,67864	
12:35:44	11,67923	
12:35:45	11,67951	
12:35:46	11,68003	
12:35:47	11,68075	
12:35:48	11,67966	
12:35:49	11,68346	
12:35:50	11,68431	
12:35:51	11,6833	
12:35:52	11,68343	
12:35:53	11,68384	
12:35:54	11,68259	
12:35:55	11,68188	
12:35:56	11,68179	
12:35:57	11,68149	
12:35:58	11,6804	
12:35:59	11,67924	
12:36:00	11,67876	
12:36:01	11,67879	
12:36:02	11,67877	
12:36:03	11,67877	
12:36:04	11,67898	
12:36:05	11,67869	
12:36:06	11,67817	
12:36:07	11,67717	
12:36:08	11,67712	
12:36:09	11,67802	
12:36:10	11,67835	
12:36:11	11,67848	
12:36:12	11,67864	
12:36:13	11,67964	
12:36:14	11,68134	
12:36:15	11,68221	
12:36:16	11,68367	
12:36:17	11,68416	
12:36:18	11,68417	
12:36:19	11,68435	
12:36:20	11,68459	
12:36:21	11,6845	
12:36:22	11,6844	
12:36:23	11,68491	
12:36:24	11,68519	
12:36:25	11,68508	
12:36:26	11,68541	
12:36:27	11,68499	
12:36:28	11,6851	
12:36:29	11,6843	
12:36:30	11,68402	
12:36:31	11,68406	
12:36:32	11,68414	
12:36:33	11,68456	
12:36:34	11,68455	
12:36:35	11,68456	
12:36:36	11,68406	
12:36:37	11,68415	
12:36:38	11,68437	
12:36:39	11,68436	
12:36:40	11,68369	
12:36:41	11,68259	
12:36:42	11,68177	
12:36:43	11,68109	
12:36:44	11,6807	
12:36:45	11,68044	
12:36:46	11,68109	
12:36:47	11,68171	
12:36:48	11,68231	
12:36:49	11,68259	
12:36:50	11,68297	
12:36:51	11,68332	
12:36:52	11,68375	
12:36:53	11,68473	
12:36:54	11,68537	
12:36:55	11,68588	
12:36:56	11,68601	
12:36:57	11,68626	
12:36:58	11,68631	
12:36:59	11,68632	
12:37:00	11,68652	
