Identification: H_W1	SN/TD: 542755/LKY-117	Firmware: FW1.13
Minimum value 10.185 mWS	Maximum value 10.191 mWS	Average value 10.189 mWS	Pressure_Type="rel"	
Time	Date	Pressure [mWS]	Temperature [°C]	Conductivity [mS/cm]	Counter [mm]	
10:07:41	09.09.2013	10.190			0.000
10:07:42	09.09.2013	10.190			0.000
10:07:43	09.09.2013	10.190			0.000
10:07:44	09.09.2013	10.190			0.000
10:07:45	09.09.2013	10.190			0.000
10:07:46	09.09.2013	10.190			0.000
10:07:47	09.09.2013	10.190			0.000
10:07:48	09.09.2013	10.190			0.000
10:07:49	09.09.2013	10.190			0.000
10:07:50	09.09.2013	10.189			0.000
10:07:51	09.09.2013	10.190			0.000
10:07:52	09.09.2013	10.189			0.000
10:07:53	09.09.2013	10.190			0.000
10:07:54	09.09.2013	10.190			0.000
10:07:55	09.09.2013	10.190			0.000
10:07:56	09.09.2013	10.190			0.000
10:07:57	09.09.2013	10.190			0.000
10:07:58	09.09.2013	10.190			0.000
10:07:59	09.09.2013	10.190			0.000
10:08:00	09.09.2013	10.190			0.000
10:08:01	09.09.2013	10.190			0.000
10:08:02	09.09.2013	10.190			0.000
10:08:03	09.09.2013	10.190			0.000
10:08:04	09.09.2013	10.190			0.000
10:08:05	09.09.2013	10.190			0.000
10:08:06	09.09.2013	10.190			0.000
10:08:07	09.09.2013	10.190			0.000
10:08:08	09.09.2013	10.190			0.000
10:08:09	09.09.2013	10.190			0.000
10:08:10	09.09.2013	10.190			0.000
10:08:11	09.09.2013	10.190			0.000
10:08:12	09.09.2013	10.190			0.000
10:08:13	09.09.2013	10.190			0.000
10:08:14	09.09.2013	10.190			0.000
10:08:15	09.09.2013	10.190			0.000
10:08:16	09.09.2013	10.189			0.000
10:08:17	09.09.2013	10.190			0.000
10:08:18	09.09.2013	10.190			0.000
10:08:19	09.09.2013	10.190			0.000
10:08:20	09.09.2013	10.190			0.000
10:08:21	09.09.2013	10.190			0.000
10:08:22	09.09.2013	10.190			0.000
10:08:23	09.09.2013	10.190			0.000
10:08:24	09.09.2013	10.190			0.000
10:08:25	09.09.2013	10.189			0.000
10:08:26	09.09.2013	10.190			0.000
10:08:27	09.09.2013	10.189			0.000
10:08:28	09.09.2013	10.190			0.000
10:08:29	09.09.2013	10.190			0.000
10:08:30	09.09.2013	10.190			0.000
10:08:31	09.09.2013	10.190			0.000
10:08:32	09.09.2013	10.190			0.000
10:08:33	09.09.2013	10.190			0.000
10:08:34	09.09.2013	10.189			0.000
10:08:35	09.09.2013	10.190			0.000
10:08:36	09.09.2013	10.189			0.000
10:08:37	09.09.2013	10.190			0.000
10:08:38	09.09.2013	10.190			0.000
10:08:39	09.09.2013	10.190			0.000
10:08:40	09.09.2013	10.190			0.000
10:08:41	09.09.2013	10.189			0.000
10:08:42	09.09.2013	10.190			0.000
10:08:43	09.09.2013	10.190			0.000
10:08:44	09.09.2013	10.190			0.000
10:08:45	09.09.2013	10.190			0.000
10:08:46	09.09.2013	10.190			0.000
10:08:47	09.09.2013	10.190			0.000
10:08:48	09.09.2013	10.190			0.000
10:08:49	09.09.2013	10.190			0.000
10:08:50	09.09.2013	10.190			0.000
10:08:51	09.09.2013	10.190			0.000
10:08:52	09.09.2013	10.190			0.000
10:08:53	09.09.2013	10.190			0.000
10:08:54	09.09.2013	10.190			0.000
10:08:55	09.09.2013	10.190			0.000
10:08:56	09.09.2013	10.190			0.000
10:08:57	09.09.2013	10.190			0.000
10:08:58	09.09.2013	10.190			0.000
10:08:59	09.09.2013	10.190			0.000
10:09:00	09.09.2013	10.190			0.000
10:09:01	09.09.2013	10.190			0.000
10:09:02	09.09.2013	10.190			0.000
10:09:03	09.09.2013	10.189			0.000
10:09:04	09.09.2013	10.190			0.000
10:09:05	09.09.2013	10.190			0.000
10:09:06	09.09.2013	10.190			0.000
10:09:07	09.09.2013	10.190			0.000
10:09:08	09.09.2013	10.190			0.000
10:09:09	09.09.2013	10.190			0.000
10:09:10	09.09.2013	10.190			0.000
10:09:11	09.09.2013	10.190			0.000
10:09:12	09.09.2013	10.190			0.000
10:09:13	09.09.2013	10.190			0.000
10:09:14	09.09.2013	10.189			0.000
10:09:15	09.09.2013	10.190			0.000
10:09:16	09.09.2013	10.190			0.000
10:09:17	09.09.2013	10.190			0.000
10:09:18	09.09.2013	10.190			0.000
10:09:19	09.09.2013	10.189			0.000
10:09:20	09.09.2013	10.190			0.000
10:09:21	09.09.2013	10.190			0.000
10:09:22	09.09.2013	10.189			0.000
10:09:23	09.09.2013	10.190			0.000
10:09:24	09.09.2013	10.190			0.000
10:09:25	09.09.2013	10.190			0.000
10:09:26	09.09.2013	10.189			0.000
10:09:27	09.09.2013	10.189			0.000
10:09:28	09.09.2013	10.189			0.000
10:09:29	09.09.2013	10.190			0.000
10:09:30	09.09.2013	10.190			0.000
10:09:31	09.09.2013	10.189			0.000
10:09:32	09.09.2013	10.189			0.000
10:09:33	09.09.2013	10.190			0.000
10:09:34	09.09.2013	10.190			0.000
10:09:35	09.09.2013	10.190			0.000
10:09:36	09.09.2013	10.189			0.000
10:09:37	09.09.2013	10.189			0.000
10:09:38	09.09.2013	10.189			0.000
10:09:39	09.09.2013	10.189			0.000
10:09:40	09.09.2013	10.190			0.000
10:09:41	09.09.2013	10.189			0.000
10:09:42	09.09.2013	10.189			0.000
10:09:43	09.09.2013	10.189			0.000
10:09:44	09.09.2013	10.190			0.000
10:09:45	09.09.2013	10.190			0.000
10:09:46	09.09.2013	10.189			0.000
10:09:47	09.09.2013	10.189			0.000
10:09:48	09.09.2013	10.190			0.000
10:09:49	09.09.2013	10.189			0.000
10:09:50	09.09.2013	10.189			0.000
10:09:51	09.09.2013	10.189			0.000
10:09:52	09.09.2013	10.190			0.000
10:09:53	09.09.2013	10.190			0.000
10:09:54	09.09.2013	10.190			0.000
10:09:55	09.09.2013	10.190			0.000
10:09:56	09.09.2013	10.189			0.000
10:09:57	09.09.2013	10.189			0.000
10:09:58	09.09.2013	10.190			0.000
10:09:59	09.09.2013	10.190			0.000
10:10:00	09.09.2013	10.190			0.000
10:10:01	09.09.2013	10.189			0.000
10:10:02	09.09.2013	10.189			0.000
10:10:03	09.09.2013	10.190			0.000
10:10:04	09.09.2013	10.190			0.000
10:10:05	09.09.2013	10.189			0.000
10:10:06	09.09.2013	10.189			0.000
10:10:07	09.09.2013	10.190			0.000
10:10:08	09.09.2013	10.189			0.000
10:10:09	09.09.2013	10.190			0.000
10:10:10	09.09.2013	10.190			0.000
10:10:11	09.09.2013	10.190			0.000
10:10:12	09.09.2013	10.190			0.000
10:10:13	09.09.2013	10.190			0.000
10:10:14	09.09.2013	10.190			0.000
10:10:15	09.09.2013	10.190			0.000
10:10:16	09.09.2013	10.189			0.000
10:10:17	09.09.2013	10.189			0.000
10:10:18	09.09.2013	10.190			0.000
10:10:19	09.09.2013	10.189			0.000
10:10:20	09.09.2013	10.189			0.000
10:10:21	09.09.2013	10.189			0.000
10:10:22	09.09.2013	10.190			0.000
10:10:23	09.09.2013	10.190			0.000
10:10:24	09.09.2013	10.190			0.000
10:10:25	09.09.2013	10.189			0.000
10:10:26	09.09.2013	10.189			0.000
10:10:27	09.09.2013	10.189			0.000
10:10:28	09.09.2013	10.189			0.000
10:10:29	09.09.2013	10.189			0.000
10:10:30	09.09.2013	10.189			0.000
10:10:31	09.09.2013	10.190			0.000
10:10:32	09.09.2013	10.189			0.000
10:10:33	09.09.2013	10.190			0.000
10:10:34	09.09.2013	10.189			0.000
10:10:35	09.09.2013	10.189			0.000
10:10:36	09.09.2013	10.189			0.000
10:10:37	09.09.2013	10.189			0.000
10:10:38	09.09.2013	10.189			0.000
10:10:39	09.09.2013	10.190			0.000
10:10:40	09.09.2013	10.190			0.000
10:10:41	09.09.2013	10.189			0.000
10:10:42	09.09.2013	10.190			0.000
10:10:43	09.09.2013	10.190			0.000
10:10:44	09.09.2013	10.189			0.000
10:10:45	09.09.2013	10.190			0.000
10:10:46	09.09.2013	10.190			0.000
10:10:47	09.09.2013	10.190			0.000
10:10:48	09.09.2013	10.190			0.000
10:10:49	09.09.2013	10.189			0.000
10:10:50	09.09.2013	10.190			0.000
10:10:51	09.09.2013	10.189			0.000
10:10:52	09.09.2013	10.190			0.000
10:10:53	09.09.2013	10.189			0.000
10:10:54	09.09.2013	10.189			0.000
10:10:55	09.09.2013	10.189			0.000
10:10:56	09.09.2013	10.189			0.000
10:10:57	09.09.2013	10.189			0.000
10:10:58	09.09.2013	10.189			0.000
10:10:59	09.09.2013	10.189			0.000
10:11:00	09.09.2013	10.190			0.000
10:11:01	09.09.2013	10.189			0.000
10:11:02	09.09.2013	10.189			0.000
10:11:03	09.09.2013	10.190			0.000
10:11:04	09.09.2013	10.189			0.000
10:11:05	09.09.2013	10.189			0.000
10:11:06	09.09.2013	10.190			0.000
10:11:07	09.09.2013	10.189			0.000
10:11:08	09.09.2013	10.189			0.000
10:11:09	09.09.2013	10.189			0.000
10:11:10	09.09.2013	10.189			0.000
10:11:11	09.09.2013	10.189			0.000
10:11:12	09.09.2013	10.189			0.000
10:11:13	09.09.2013	10.190			0.000
10:11:14	09.09.2013	10.190			0.000
10:11:15	09.09.2013	10.189			0.000
10:11:16	09.09.2013	10.189			0.000
10:11:17	09.09.2013	10.189			0.000
10:11:18	09.09.2013	10.189			0.000
10:11:19	09.09.2013	10.190			0.000
10:11:20	09.09.2013	10.190			0.000
10:11:21	09.09.2013	10.190			0.000
10:11:22	09.09.2013	10.189			0.000
10:11:23	09.09.2013	10.190			0.000
10:11:24	09.09.2013	10.189			0.000
10:11:25	09.09.2013	10.189			0.000
10:11:26	09.09.2013	10.189			0.000
10:11:27	09.09.2013	10.189			0.000
10:11:28	09.09.2013	10.190			0.000
10:11:29	09.09.2013	10.189			0.000
10:11:30	09.09.2013	10.190			0.000
10:11:31	09.09.2013	10.189			0.000
10:11:32	09.09.2013	10.190			0.000
10:11:33	09.09.2013	10.189			0.000
10:11:34	09.09.2013	10.190			0.000
10:11:35	09.09.2013	10.190			0.000
10:11:36	09.09.2013	10.189			0.000
10:11:37	09.09.2013	10.189			0.000
10:11:38	09.09.2013	10.189			0.000
10:11:39	09.09.2013	10.190			0.000
10:11:40	09.09.2013	10.190			0.000
10:11:41	09.09.2013	10.189			0.000
10:11:42	09.09.2013	10.189			0.000
10:11:43	09.09.2013	10.190			0.000
10:11:44	09.09.2013	10.189			0.000
10:11:45	09.09.2013	10.190			0.000
10:11:46	09.09.2013	10.190			0.000
10:11:47	09.09.2013	10.189			0.000
10:11:48	09.09.2013	10.189			0.000
10:11:49	09.09.2013	10.190			0.000
10:11:50	09.09.2013	10.190			0.000
10:11:51	09.09.2013	10.189			0.000
10:11:52	09.09.2013	10.189			0.000
10:11:53	09.09.2013	10.189			0.000
10:11:54	09.09.2013	10.189			0.000
10:11:55	09.09.2013	10.189			0.000
10:11:56	09.09.2013	10.189			0.000
10:11:57	09.09.2013	10.189			0.000
10:11:58	09.09.2013	10.190			0.000
10:11:59	09.09.2013	10.189			0.000
10:12:00	09.09.2013	10.189			0.000
10:12:01	09.09.2013	10.189			0.000
10:12:02	09.09.2013	10.189			0.000
10:12:03	09.09.2013	10.190			0.000
10:12:04	09.09.2013	10.189			0.000
10:12:05	09.09.2013	10.190			0.000
10:12:06	09.09.2013	10.190			0.000
10:12:07	09.09.2013	10.189			0.000
10:12:08	09.09.2013	10.189			0.000
10:12:09	09.09.2013	10.190			0.000
10:12:10	09.09.2013	10.189			0.000
10:12:11	09.09.2013	10.190			0.000
10:12:12	09.09.2013	10.190			0.000
10:12:13	09.09.2013	10.190			0.000
10:12:14	09.09.2013	10.190			0.000
10:12:15	09.09.2013	10.189			0.000
10:12:16	09.09.2013	10.189			0.000
10:12:17	09.09.2013	10.190			0.000
10:12:18	09.09.2013	10.190			0.000
10:12:19	09.09.2013	10.189			0.000
10:12:20	09.09.2013	10.190			0.000
10:12:21	09.09.2013	10.190			0.000
10:12:22	09.09.2013	10.190			0.000
10:12:23	09.09.2013	10.189			0.000
10:12:24	09.09.2013	10.190			0.000
10:12:25	09.09.2013	10.189			0.000
10:12:26	09.09.2013	10.190			0.000
10:12:27	09.09.2013	10.189			0.000
10:12:28	09.09.2013	10.190			0.000
10:12:29	09.09.2013	10.190			0.000
10:12:30	09.09.2013	10.190			0.000
10:12:31	09.09.2013	10.190			0.000
10:12:32	09.09.2013	10.190			0.000
10:12:33	09.09.2013	10.190			0.000
10:12:34	09.09.2013	10.189			0.000
10:12:35	09.09.2013	10.189			0.000
10:12:36	09.09.2013	10.189			0.000
10:12:37	09.09.2013	10.189			0.000
10:12:38	09.09.2013	10.190			0.000
10:12:39	09.09.2013	10.190			0.000
10:12:40	09.09.2013	10.189			0.000
10:12:41	09.09.2013	10.189			0.000
10:12:42	09.09.2013	10.190			0.000
10:12:43	09.09.2013	10.189			0.000
10:12:44	09.09.2013	10.190			0.000
10:12:45	09.09.2013	10.190			0.000
10:12:46	09.09.2013	10.189			0.000
10:12:47	09.09.2013	10.189			0.000
10:12:48	09.09.2013	10.189			0.000
10:12:49	09.09.2013	10.190			0.000
10:12:50	09.09.2013	10.189			0.000
10:12:51	09.09.2013	10.189			0.000
10:12:52	09.09.2013	10.190			0.000
10:12:53	09.09.2013	10.190			0.000
10:12:54	09.09.2013	10.189			0.000
10:12:55	09.09.2013	10.190			0.000
10:12:56	09.09.2013	10.190			0.000
10:12:57	09.09.2013	10.189			0.000
10:12:58	09.09.2013	10.190			0.000
10:12:59	09.09.2013	10.189			0.000
10:13:00	09.09.2013	10.190			0.000
10:13:01	09.09.2013	10.189			0.000
10:13:02	09.09.2013	10.189			0.000
10:13:03	09.09.2013	10.189			0.000
10:13:04	09.09.2013	10.189			0.000
10:13:05	09.09.2013	10.189			0.000
10:13:06	09.09.2013	10.189			0.000
10:13:07	09.09.2013	10.190			0.000
10:13:08	09.09.2013	10.189			0.000
10:13:09	09.09.2013	10.190			0.000
10:13:10	09.09.2013	10.189			0.000
10:13:11	09.09.2013	10.190			0.000
10:13:12	09.09.2013	10.189			0.000
10:13:13	09.09.2013	10.189			0.000
10:13:14	09.09.2013	10.189			0.000
10:13:15	09.09.2013	10.189			0.000
10:13:16	09.09.2013	10.189			0.000
10:13:17	09.09.2013	10.190			0.000
10:13:18	09.09.2013	10.190			0.000
10:13:19	09.09.2013	10.189			0.000
10:13:20	09.09.2013	10.190			0.000
10:13:21	09.09.2013	10.189			0.000
10:13:22	09.09.2013	10.189			0.000
10:13:23	09.09.2013	10.190			0.000
10:13:24	09.09.2013	10.189			0.000
10:13:25	09.09.2013	10.189			0.000
10:13:26	09.09.2013	10.189			0.000
10:13:27	09.09.2013	10.189			0.000
10:13:28	09.09.2013	10.189			0.000
