Date & Time;Höhe  [m];I [mA];Latit GPS;Lontit GPS;Altit GPS [m];Battery [V];DeviceID
09.01.2014 14:30:19;0,0203;4,68;0.0000000 N;0.0000000 E;0;2,73;002C8A4B
09.01.2014 14:31:00;0,02;4,67;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:32:00;0,0197;4,66;52.5402066 N;13.5171733 E;105;2,74;002C8A4B
09.01.2014 14:33:00;0,0194;4,65;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:34:00;0,0199;4,66;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:35:00;0,0194;4,65;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:36:00;0,0195;4,65;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:37:00;0,0098;4,33;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:38:00;0,0013;4,05;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:39:00;0,0092;4,31;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:40:00;0,0116;4,39;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:41:00;0,0144;4,48;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:42:00;0,0167;4,56;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:43:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:44:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:45:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:46:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:47:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:48:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:49:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:50:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:51:00;0,0176;4,59;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:52:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:53:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:54:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:55:00;0,0187;4,63;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:56:00;0,0204;4,68;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 14:57:00;0,0203;4,68;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 14:58:00;0,0202;4,68;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 14:59:00;0,0201;4,67;52.5402066 N;13.5171733 E;105;2,73;002C8A4B
09.01.2014 15:00:00;0,0199;4,67;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:01:00;0,0197;4,66;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:02:00;0,0195;4,65;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:03:00;0,0193;4,65;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:04:00;0,0193;4,65;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:05:00;0,0188;4,63;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:06:00;0,0191;4,64;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:07:00;0,0186;4,62;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:08:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:09:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:10:00;0,0198;4,66;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:11:00;0,02;4,67;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:12:00;0,0202;4,68;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:13:00;0,0198;4,66;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:14:00;0,0194;4,65;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:15:00;0,0195;4,65;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:16:00;0,0191;4,64;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:17:00;0,019;4,63;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:18:00;0,0195;4,65;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:19:00;0,019;4,64;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:20:00;0,0188;4,63;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:21:00;0,0186;4,62;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:22:00;0,0184;4,61;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:23:00;0,0189;4,63;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:24:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:25:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:26:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:27:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:28:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:29:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:30:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:31:00;0,0184;4,61;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:32:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:33:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:34:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:35:00;0,0188;4,63;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:36:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:37:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:38:00;0,0188;4,63;52.5402066 N;13.5171733 E;105;2,72;002C8A4B
09.01.2014 15:39:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:40:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:41:00;0,0184;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:42:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:43:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:44:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:45:00;0,0188;4,63;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:46:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:47:00;0,0183;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:48:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:49:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:50:00;0,0186;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:51:00;0,0185;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:52:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:53:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:54:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:55:00;0,0178;4,59;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:56:00;0,0181;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:57:00;0,0179;4,6;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:58:00;0,018;4,6;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 15:59:00;0,0177;4,59;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:00:00;0,0186;4,62;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:01:00;0,0182;4,61;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
09.01.2014 16:02:00;0,0178;4,6;52.5402066 N;13.5171733 E;105;2,71;002C8A4B
