NIVUS	STR

CPU32:	V4.10	27/01/14	FLASH : 8000B	DSP   : (1)V1.62 11/10/13 (4)
Datum	04.04.2014	c:\STRxxxxx.txt

		Fenster min[m]:	 0,060
		Fenster max[m]:	 0,990

Datum	Uhrzeit	Füllstand [m]	Geschw. [m/s]	Durchfluss [l/s]	T [°C]	ADC_1 [m]	ADC_2 [mA]	ADC_3 [V]	ADC_4 [m]	

22.04.2014	01:40:00	0,007	0,000	0,000	9,2		122,852	12,787	
22.04.2014	01:42:00	0,007	0,000	0,000	9,2		130,946	12,786	
22.04.2014	01:44:00	0,007	0,000	0,000	9,2		130,344	12,786	
22.04.2014	01:46:00	0,007	0,000	0,000	9,2		128,054	12,786	
22.04.2014	01:48:00	0,007	0,000	0,000	9,2		130,333	12,786	
22.04.2014	01:50:00	0,007	0,000	0,000	9,2		131,427	12,786	
22.04.2014	01:52:00	0,007	0,000	0,000	9,2		132,507	12,787	
22.04.2014	01:54:00	0,007	0,000	0,000	9,2		132,558	12,786	
22.04.2014	01:56:00	0,007	0,000	0,000	9,2		122,529	12,786	
22.04.2014	01:58:00	0,007	0,000	0,000	9,2		127,677	12,786	
22.04.2014	02:00:00	0,007	0,000	0,000	9,2		128,048	12,785	
22.04.2014	02:02:00	0,007	0,000	0,000	9,2		133,009	12,786	
22.04.2014	02:04:00	0,007	0,000	0,000	9,2		122,963	12,786	
22.04.2014	02:06:00	0,007	0,000	0,000	9,2		133,424	12,785	
22.04.2014	02:08:00	0,007	0,000	0,000	9,2		121,807	12,786	
22.04.2014	02:10:00	0,007	0,000	0,000	9,2		132,952	12,785	
22.04.2014	02:12:00	0,007	0,000	0,000	9,2		131,918	12,786	
22.04.2014	02:14:00	0,007	0,000	0,000	9,2		130,385	12,786	
22.04.2014	02:16:00	0,007	0,000	0,000	9,2		130,339	12,785	
22.04.2014	02:18:00	0,006	0,000	0,000	9,2		127,815	12,785	
22.04.2014	02:20:00	0,006	0,000	0,000	9,2		127,826	12,785	
22.04.2014	02:22:00	0,006	0,000	0,000	9,2		130,268	12,785	
22.04.2014	02:24:00	0,006	0,000	0,000	9,2		130,737	12,785	
22.04.2014	02:26:00	0,006	0,000	0,000	9,2		130,572	12,785	
22.04.2014	02:28:00	0,006	0,000	0,000	9,2		130,737	12,785	
22.04.2014	02:30:00	0,007	0,000	0,000	9,2		131,031	12,785	
22.04.2014	02:32:00	0,007	0,000	0,000	9,2		130,252	12,785	
22.04.2014	02:34:00	0,007	0,000	0,000	9,2		128,179	12,785	
22.04.2014	02:36:00	0,007	0,000	0,000	9,2		133,638	12,785	
22.04.2014	02:38:00	0,007	0,000	0,000	9,2		130,436	12,785	
22.04.2014	02:40:00	0,007	0,000	0,000	9,2		130,480	12,784	
22.04.2014	02:42:00	0,007	0,000	0,000	9,2		127,926	12,784	
22.04.2014	02:44:00	0,007	0,000	0,000	9,2		128,086	12,785	
22.04.2014	02:46:00	0,007	0,000	0,000	9,2		130,930	12,784	
22.04.2014	02:48:00	0,007	0,000	0,000	9,2		130,691	12,784	
22.04.2014	02:50:00	0,007	0,000	0,000	9,2		131,416	12,784	
22.04.2014	02:52:00	0,007	0,000	0,000	9,2		132,471	12,785	
22.04.2014	02:54:00	0,007	0,000	0,000	9,2		130,564	12,784	
22.04.2014	02:56:00	0,007	0,000	0,000	9,2		133,242	12,784	
22.04.2014	02:58:00	0,006	0,000	0,000	9,2		128,154	12,784	
22.04.2014	03:00:00	0,006	0,000	0,000	9,2		130,303	12,784	
22.04.2014	03:02:00	0,006	0,000	0,000	9,2		128,784	12,784	
22.04.2014	03:04:00	0,006	0,000	0,000	9,2		130,379	12,784	
22.04.2014	03:06:00	0,007	0,000	0,000	9,2		130,225	12,783	
22.04.2014	03:08:00	0,007	0,000	0,000	9,2		130,914	12,783	
22.04.2014	03:10:00	0,007	0,000	0,000	9,2		132,444	12,784	
22.04.2014	03:12:00	0,007	0,000	0,000	9,2		128,208	12,784	
22.04.2014	03:14:00	0,007	0,000	0,000	9,2		131,204	12,783	
22.04.2014	03:16:00	0,007	0,000	0,000	9,2		133,017	12,783	
22.04.2014	03:18:00	0,007	0,000	0,000	9,2		130,507	12,783	
22.04.2014	03:20:00	0,007	0,000	0,000	9,2		128,040	12,783	
22.04.2014	03:22:00	0,007	0,000	0,000	9,2		125,210	12,784	
22.04.2014	03:24:00	0,007	0,000	0,000	9,2		132,148	12,784	
22.04.2014	03:26:00	0,007	0,000	0,000	9,2		133,576	12,783	
22.04.2014	03:28:00	0,007	0,000	0,000	9,2		130,767	12,783	
22.04.2014	03:30:00	0,007	0,000	0,000	9,2		128,420	12,783	
22.04.2014	03:32:00	0,007	0,000	0,000	9,2		132,862	12,783	
22.04.2014	03:34:00	0,007	0,000	0,000	9,2		125,001	12,783	
22.04.2014	03:36:00	0,007	0,000	0,000	9,2		133,465	12,783	
22.04.2014	03:38:00	0,007	0,000	0,000	9,2		130,583	12,783	
22.04.2014	03:40:00	0,007	0,000	0,000	9,2		129,109	12,783	
22.04.2014	03:42:00	0,007	0,000	0,000	9,2		131,277	12,783	
22.04.2014	03:44:00	0,007	0,000	0,000	9,2		132,477	12,784	
22.04.2014	03:46:00	0,007	0,000	0,000	9,2		133,315	12,782	
22.04.2014	03:48:00	0,007	0,000	0,000	9,2		131,554	12,782	
22.04.2014	03:50:00	0,007	0,000	0,000	9,2		132,599	12,783	
22.04.2014	03:52:00	0,007	0,000	0,000	9,2		132,998	12,782	
22.04.2014	03:54:00	0,007	0,000	0,000	9,2		128,366	12,782	
22.04.2014	03:56:00	0,007	0,000	0,000	9,2		132,583	12,782	
22.04.2014	03:58:00	0,007	0,000	0,000	9,2		133,220	12,782	
22.04.2014	04:00:00	0,007	0,000	0,000	9,2		130,083	12,782	
22.04.2014	04:02:00	0,007	0,000	0,000	9,2		132,113	12,782	
22.04.2014	04:04:00	0,007	0,000	0,000	9,2		127,481	12,782	
22.04.2014	04:06:00	0,007	0,000	0,000	9,2		130,710	12,782	
22.04.2014	04:08:00	0,007	0,000	0,000	9,2		131,964	12,782	
22.04.2014	04:10:00	0,007	0,000	0,000	9,2		130,941	12,782	
22.04.2014	04:12:00	0,007	0,000	0,000	9,2		132,319	12,782	
22.04.2014	04:14:00	0,007	0,000	0,000	9,2		130,214	12,782	
22.04.2014	04:16:00	0,007	0,000	0,000	9,2		133,774	12,781	
22.04.2014	04:18:00	0,007	0,000	0,000	9,2		127,386	12,783	
22.04.2014	04:20:00	0,007	0,000	0,000	9,2		130,542	12,781	
22.04.2014	04:22:00	0,007	0,000	0,000	9,2		121,650	12,782	
22.04.2014	04:24:00	0,007	0,000	0,000	9,2		131,429	12,781	
22.04.2014	04:26:00	0,007	0,000	0,000	9,2		127,815	12,781	
22.04.2014	04:28:00	0,007	0,000	0,000	9,2		130,257	12,782	
22.04.2014	04:30:00	0,007	0,000	0,000	9,2		130,651	12,781	
22.04.2014	04:32:00	0,007	0,000	0,000	9,2		130,311	12,781	
22.04.2014	04:34:00	0,007	0,000	0,000	9,2		132,851	12,781	
22.04.2014	04:36:00	0,007	0,000	0,000	9,2		127,462	12,781	
22.04.2014	04:38:00	0,007	0,000	0,000	9,2		127,606	12,781	
22.04.2014	04:40:00	0,007	0,000	0,000	9,2		133,413	12,781	
22.04.2014	04:42:00	0,007	0,000	0,000	9,2		120,749	12,781	
22.04.2014	04:44:00	0,007	0,000	0,000	9,2		131,676	12,781	
22.04.2014	04:46:00	0,007	0,000	0,000	9,2		114,142	12,782	
22.04.2014	04:48:00	0,007	0,000	0,000	9,2		130,689	12,781	
22.04.2014	04:50:00	0,007	0,000	0,000	9,2		130,328	12,781	
22.04.2014	04:52:00	0,007	0,000	0,000	9,2		130,670	12,780	
22.04.2014	04:54:00	0,007	0,000	0,000	9,2		133,144	12,780	
22.04.2014	04:56:00	0,007	0,000	0,000	9,2		130,542	12,780	
22.04.2014	04:58:00	0,007	0,000	0,000	9,2		130,458	12,780	
22.04.2014	05:00:00	0,007	0,000	0,000	9,2		130,604	12,780	
22.04.2014	05:02:00	0,007	0,000	0,000	9,2		132,740	12,780	
22.04.2014	05:04:00	0,007	0,000	0,000	9,2		128,008	12,780	
22.04.2014	05:06:00	0,007	0,000	0,000	9,2		133,459	12,780	
22.04.2014	05:08:00	0,007	0,000	0,000	9,2		130,493	12,780	
22.04.2014	05:10:00	0,007	0,000	0,000	9,2		128,200	12,780	
22.04.2014	05:12:00	0,007	0,000	0,000	9,2		133,285	12,780	
22.04.2014	05:14:00	0,007	0,000	0,000	9,2		133,747	12,781	
22.04.2014	05:16:00	0,007	0,000	0,000	9,2		130,558	12,780	
22.04.2014	05:18:00	0,007	0,000	0,000	9,2		133,101	12,780	
22.04.2014	05:20:00	0,007	0,000	0,000	9,2		131,085	12,779	
22.04.2014	05:22:00	0,007	0,000	0,000	9,2		128,282	12,779	
22.04.2014	05:24:00	0,007	0,000	0,000	9,2		133,815	12,780	
22.04.2014	05:26:00	0,007	0,000	0,000	9,2		130,691	12,779	
22.04.2014	05:28:00	0,007	0,000	0,000	9,2		130,556	12,780	
22.04.2014	05:30:00	0,007	0,000	0,000	9,2		131,191	12,779	
22.04.2014	05:32:00	0,007	0,000	0,000	9,2		121,384	12,780	
22.04.2014	05:34:00	0,007	0,000	0,000	9,2		132,897	12,779	
22.04.2014	05:36:00	0,007	0,000	0,000	9,2		133,603	12,779	
22.04.2014	05:38:00	0,007	0,000	0,000	9,2		131,478	12,779	
22.04.2014	05:40:00	0,007	0,000	0,000	9,2		128,352	12,779	
22.04.2014	05:42:00	0,007	0,000	0,000	9,2		133,787	12,779	
22.04.2014	05:44:00	0,007	0,000	0,000	9,2		132,575	12,780	
22.04.2014	05:46:00	0,007	0,000	0,000	9,2		130,963	12,779	
22.04.2014	05:48:00	0,007	0,000	0,000	9,2		133,047	12,779	
22.04.2014	05:50:00	0,007	0,000	0,000	9,2		133,177	12,779	
22.04.2014	05:52:00	0,007	0,000	0,000	9,2		121,897	12,779	
22.04.2014	05:54:00	0,007	0,000	0,000	9,2		128,127	12,779	
22.04.2014	05:56:00	0,007	0,000	0,000	9,2		130,311	12,778	
22.04.2014	05:58:00	0,007	0,000	0,000	9,2		122,043	12,779	
22.04.2014	06:00:00	0,007	0,000	0,000	9,2		128,070	12,779	
22.04.2014	06:02:00	0,007	0,000	0,000	9,2		130,211	12,778	
22.04.2014	06:04:00	0,007	0,000	0,000	9,2		130,556	12,778	
22.04.2014	06:06:00	0,007	0,000	0,000	9,2		130,368	12,778	
22.04.2014	06:08:00	0,007	0,000	0,000	9,2		130,914	12,778	
22.04.2014	06:10:00	0,007	0,000	0,000	9,2		133,196	12,778	
22.04.2014	06:12:00	0,007	0,000	0,000	9,2		125,180	12,778	
22.04.2014	06:14:00	0,007	0,000	0,000	9,2		133,215	12,778	
22.04.2014	06:16:00	0,006	0,000	0,000	9,2		130,621	12,778	
22.04.2014	06:18:00	0,006	0,000	0,000	9,2		132,783	12,778	
22.04.2014	06:20:00	0,006	0,000	0,000	9,2		130,425	12,778	
22.04.2014	06:22:00	0,007	0,000	0,000	9,2		128,320	12,778	
22.04.2014	06:24:00	0,007	0,000	0,000	9,2		128,491	12,778	
22.04.2014	06:26:00	0,007	0,000	0,000	9,2		133,017	12,778	
22.04.2014	06:28:00	0,007	0,000	0,000	9,2		130,898	12,777	
22.04.2014	06:30:00	0,007	0,000	0,000	9,2		121,587	12,777	
22.04.2014	06:32:00	0,007	0,000	0,000	9,2		125,118	12,778	
22.04.2014	06:34:00	0,007	0,000	0,000	9,2		121,066	12,777	
22.04.2014	06:36:00	0,007	0,000	0,000	9,2		131,155	12,777	
22.04.2014	06:38:00	0,007	0,000	0,000	9,2		121,948	12,778	
22.04.2014	06:40:00	0,007	0,000	0,000	9,2		130,225	12,777	
22.04.2014	06:42:00	0,007	0,000	0,000	9,2		128,388	12,777	
22.04.2014	06:44:00	0,007	0,000	0,000	9,2		130,917	12,777	
22.04.2014	06:46:00	0,007	0,000	0,000	9,2		131,139	12,777	
22.04.2014	06:48:00	0,007	0,000	0,000	9,2		127,384	12,777	
22.04.2014	06:50:00	0,007	0,000	0,000	9,2		131,169	12,777	
22.04.2014	06:52:00	0,007	0,000	0,000	9,2		130,558	12,777	
22.04.2014	06:54:00	0,007	0,000	0,000	9,2		131,104	12,777	
22.04.2014	06:56:00	0,007	0,000	0,000	9,2		130,577	12,777	
22.04.2014	06:58:00	0,007	0,000	0,000	9,2		130,808	12,777	
22.04.2014	07:00:00	0,007	0,000	0,000	9,2		132,512	12,777	
22.04.2014	07:02:00	0,007	0,000	0,000	9,2		130,119	12,776	
22.04.2014	07:04:00	0,007	0,000	0,000	9,2		130,976	12,777	
22.04.2014	07:06:00	0,007	0,000	0,000	9,2		130,645	12,776	
22.04.2014	07:08:00	0,007	0,000	0,000	9,2		122,117	12,776	
22.04.2014	07:10:00	0,007	0,000	0,000	9,2		127,470	12,776	
22.04.2014	07:12:00	0,007	0,000	0,000	9,2		128,100	12,776	
22.04.2014	07:14:00	0,007	0,000	0,000	9,2		130,756	12,776	
22.04.2014	07:16:00	0,007	0,000	0,000	9,2		131,294	12,775	
22.04.2014	07:18:00	0,007	0,000	0,000	9,2		133,858	12,776	
22.04.2014	07:20:00	0,007	0,000	0,000	9,2		125,139	12,776	
22.04.2014	07:22:00	0,007	0,000	0,000	9,2		131,845	12,775	
22.04.2014	07:24:00	0,007	0,000	0,000	9,2		130,773	12,775	
22.04.2014	07:26:00	0,007	0,000	0,000	9,2		133,839	12,776	
22.04.2014	07:28:00	0,007	0,000	0,000	9,2		128,048	12,776	
22.04.2014	07:30:00	0,007	0,000	0,000	9,2		134,034	12,776	
22.04.2014	07:32:00	0,007	0,000	0,000	9,2		125,243	12,775	
22.04.2014	07:34:00	0,007	0,000	0,000	9,2		125,126	12,776	
22.04.2014	07:36:00	0,007	0,000	0,000	9,2		117,675	12,776	
22.04.2014	07:38:00	0,007	0,000	0,000	9,2		126,382	12,775	
22.04.2014	07:40:00	0,007	0,000	0,000	9,2		131,041	12,775	
22.04.2014	07:42:00	0,007	0,000	0,000	9,2		121,992	12,775	
22.04.2014	07:44:00	0,007	0,000	0,000	9,2		132,963	12,776	
22.04.2014	07:46:00	0,007	0,000	0,000	9,2		130,385	12,775	
22.04.2014	07:48:00	0,007	0,000	0,000	9,2		130,849	12,775	
22.04.2014	07:50:00	0,007	0,000	0,000	9,2		133,185	12,775	
22.04.2014	07:52:00	0,007	0,000	0,000	9,2		130,710	12,775	
22.04.2014	07:54:00	0,007	0,000	0,000	9,2		122,095	12,774	
22.04.2014	07:56:00	0,007	0,000	0,000	9,2		130,965	12,775	
22.04.2014	07:58:00	0,007	0,000	0,000	9,2		130,510	12,775	
22.04.2014	08:00:00	0,007	0,000	0,000	9,2		131,169	12,774	
22.04.2014	08:02:00	0,007	0,000	0,000	9,2		128,309	12,774	
22.04.2014	08:04:00	0,007	0,000	0,000	9,2		131,093	12,775	
22.04.2014	08:06:00	0,007	0,000	0,000	9,2		134,056	12,774	
22.04.2014	08:08:00	0,007	0,000	0,000	9,2		133,058	12,774	
22.04.2014	08:10:00	0,007	0,000	0,000	9,2		131,291	12,774	
22.04.2014	08:12:00	0,007	0,000	0,000	9,2		128,379	12,775	
22.04.2014	08:14:00	0,007	0,000	0,000	9,2		125,142	12,775	
22.04.2014	08:16:00	0,007	0,000	0,000	9,2		127,796	12,774	
22.04.2014	08:18:00	0,007	0,000	0,000	9,2		125,017	12,774	
22.04.2014	08:20:00	0,007	0,000	0,000	9,2		127,812	12,774	
22.04.2014	08:22:00	0,007	0,000	0,000	9,2		133,030	12,774	
22.04.2014	08:24:00	0,007	0,000	0,000	9,2		130,548	12,773	
22.04.2014	08:26:00	0,007	0,000	0,000	9,2		133,920	12,774	
22.04.2014	08:28:00	0,007	0,000	0,000	9,2		133,147	12,774	
22.04.2014	08:30:00	0,007	0,000	0,000	9,2		133,763	12,774	
22.04.2014	08:32:00	0,007	0,000	0,000	9,2		128,626	12,773	
22.04.2014	08:34:00	0,007	0,000	0,000	9,2		128,010	12,773	
22.04.2014	08:36:00	0,007	0,000	0,000	9,2		123,452	12,774	
22.04.2014	08:38:00	0,007	0,000	0,000	9,2		130,670	12,774	
22.04.2014	08:40:00	0,007	0,000	0,000	9,2		114,014	12,774	
22.04.2014	08:42:00	0,007	0,000	0,000	9,2		131,432	12,773	
22.04.2014	08:44:00	0,007	0,000	0,000	9,2		128,306	12,773	
22.04.2014	08:46:00	0,007	0,000	0,000	9,2		130,311	12,774	
22.04.2014	08:48:00	0,007	0,000	0,000	9,2		131,793	12,773	
22.04.2014	08:50:00	0,007	0,000	0,000	9,2		133,199	12,774	
22.04.2014	08:52:00	0,007	0,000	0,000	9,2		133,245	12,773	
22.04.2014	08:54:00	0,007	0,000	0,000	9,2		132,048	12,773	
22.04.2014	08:56:00	0,007	0,000	0,000	9,2		130,233	12,773	
22.04.2014	08:58:00	0,007	0,000	0,000	9,2		127,853	12,773	
22.04.2014	09:00:00	0,007	0,000	0,000	9,2		131,139	12,772	
22.04.2014	09:02:00	0,007	0,000	0,000	9,2		130,705	12,772	
22.04.2014	09:04:00	0,007	0,000	0,000	9,2		130,485	12,773	
22.04.2014	09:06:00	0,007	0,000	0,000	9,2		131,359	12,772	
22.04.2014	09:08:00	0,007	0,000	0,000	9,2		133,858	12,772	
22.04.2014	09:10:00	0,007	0,000	0,000	9,2		131,028	12,772	
22.04.2014	09:12:00	0,007	0,000	0,000	9,2		128,363	12,773	
22.04.2014	09:14:00	0,007	0,000	0,000	9,2		128,393	12,773	
22.04.2014	09:16:00	0,007	0,000	0,000	9,2		128,200	12,772	
22.04.2014	09:18:00	0,007	0,000	0,000	9,2		133,834	12,772	
22.04.2014	09:20:00	0,007	0,000	0,000	9,2		134,148	12,772	
22.04.2014	09:22:00	0,007	0,000	0,000	9,2		128,724	12,772	
22.04.2014	09:24:00	0,007	0,000	0,000	9,2		133,671	12,772	
22.04.2014	09:26:00	0,007	0,000	0,000	9,2		128,260	12,772	
22.04.2014	09:28:00	0,007	0,000	0,000	9,2		128,379	12,772	
22.04.2014	09:30:00	0,007	0,000	0,000	9,2		128,157	12,772	
22.04.2014	09:32:00	0,007	0,000	0,000	9,2		133,823	12,771	
22.04.2014	09:34:00	0,007	0,000	0,000	9,2		128,122	12,772	
22.04.2014	09:36:00	0,007	0,000	0,000	9,2		130,577	12,771	
22.04.2014	09:38:00	0,007	0,000	0,000	9,2		130,835	12,772	
22.04.2014	09:40:00	0,007	0,000	0,000	9,2		130,702	12,771	
22.04.2014	09:42:00	0,007	0,000	0,000	9,2		128,336	12,771	
22.04.2014	09:44:00	0,007	0,000	0,000	9,2		130,596	12,771	
22.04.2014	09:46:00	0,007	0,000	0,000	9,2		131,527	12,771	
22.04.2014	09:48:00	0,007	0,000	0,000	9,2		132,895	12,771	
22.04.2014	09:50:00	0,007	0,000	0,000	9,2		130,851	12,771	
22.04.2014	09:52:00	0,007	0,000	0,000	9,2		132,284	12,771	
22.04.2014	09:54:00	0,007	0,000	0,000	9,2		130,431	12,770	
22.04.2014	09:56:00	0,007	0,000	0,000	9,2		133,999	12,771	
22.04.2014	09:58:00	0,007	0,000	0,000	9,2		130,594	12,771	
22.04.2014	10:00:00	0,007	0,000	0,000	9,2		127,905	12,771	
22.04.2014	10:02:00	0,007	0,000	0,000	9,2		133,047	12,771	
22.04.2014	10:04:00	0,007	0,000	0,000	9,2		130,786	12,770	
22.04.2014	10:06:00	0,007	0,000	0,000	9,2		133,391	12,770	
22.04.2014	10:08:00	0,007	0,000	0,000	9,2		128,466	12,770	
22.04.2014	10:10:00	0,007	0,000	0,000	9,2		132,707	12,771	
22.04.2014	10:12:00	0,007	0,000	0,000	9,2		127,991	12,770	
22.04.2014	10:14:00	0,007	0,000	0,000	9,2		130,881	12,770	
22.04.2014	10:16:00	0,007	0,000	0,000	9,2		131,419	12,771	
22.04.2014	10:18:00	0,007	0,000	0,000	9,2		130,453	12,770	
22.04.2014	10:20:00	0,007	0,000	0,000	9,2		131,324	12,770	
22.04.2014	10:22:00	0,007	0,000	0,000	9,2		133,359	12,770	
22.04.2014	10:24:00	0,007	0,000	0,000	9,2		130,751	12,770	
22.04.2014	10:26:00	0,006	0,000	0,000	9,2		130,949	12,770	
22.04.2014	10:28:00	0,006	0,000	0,000	9,2		133,505	12,771	
22.04.2014	10:30:00	0,006	0,000	0,000	9,2		132,680	12,770	
22.04.2014	10:32:00	0,006	0,000	0,000	9,2		133,668	12,770	
22.04.2014	10:34:00	0,006	0,000	0,000	9,2		133,006	12,770	
22.04.2014	10:36:00	0,006	0,000	0,000	9,2		130,857	12,770	
22.04.2014	10:38:00	0,007	0,000	0,000	9,2		120,896	12,770	
22.04.2014	10:40:00	0,007	0,000	0,000	9,2		132,802	12,770	
22.04.2014	10:42:00	0,007	0,000	0,000	9,2		131,071	12,769	
22.04.2014	10:44:00	0,007	0,000	0,000	9,2		128,344	12,769	
22.04.2014	10:46:00	0,007	0,000	0,000	9,2		133,929	12,769	
22.04.2014	10:48:00	0,007	0,000	0,000	9,2		130,385	12,769	
22.04.2014	10:50:00	0,007	0,000	0,000	9,2		130,686	12,769	
22.04.2014	10:52:00	0,007	0,000	0,000	9,2		122,195	12,769	
22.04.2014	10:54:00	0,007	0,000	0,000	9,2		130,683	12,769	
22.04.2014	10:56:00	0,007	0,000	0,000	9,2		130,588	12,770	
22.04.2014	10:58:00	0,007	0,000	0,000	9,2		130,751	12,769	
22.04.2014	11:00:00	0,007	0,000	0,000	9,2		130,718	12,769	
22.04.2014	11:02:00	0,007	0,000	0,000	9,2		128,108	12,769	
22.04.2014	11:04:00	0,007	0,000	0,000	9,2		130,634	12,769	
22.04.2014	11:06:00	0,007	0,000	0,000	9,2		122,990	12,769	
22.04.2014	11:08:00	0,007	0,000	0,000	9,2		130,529	12,769	
22.04.2014	11:10:00	0,007	0,000	0,000	9,2		133,001	12,768	
22.04.2014	11:12:00	0,007	0,000	0,000	9,2		133,755	12,769	
22.04.2014	11:14:00	0,007	0,000	0,000	9,2		130,545	12,769	
22.04.2014	11:16:00	0,006	0,000	0,000	9,2		130,664	12,768	
22.04.2014	11:18:00	0,006	0,000	0,000	9,2		127,791	12,768	
22.04.2014	11:20:00	0,006	0,000	0,000	9,2		130,594	12,768	
22.04.2014	11:22:00	0,007	0,000	0,000	9,2		132,762	12,768	
22.04.2014	11:24:00	0,007	0,000	0,000	9,2		128,170	12,768	
22.04.2014	11:26:00	0,007	0,000	0,000	9,2		128,089	12,768	
22.04.2014	11:28:00	0,007	0,000	0,000	9,2		131,193	12,768	
22.04.2014	11:30:00	0,007	0,000	0,000	9,2		130,808	12,768	
22.04.2014	11:32:00	0,007	0,000	0,000	9,2		130,808	12,768	
22.04.2014	11:34:00	0,007	0,000	0,000	9,2		127,644	12,768	
22.04.2014	11:36:00	0,007	0,000	0,000	9,2		122,293	12,768	
22.04.2014	11:38:00	0,007	0,000	0,000	9,2		130,368	12,768	
22.04.2014	11:40:00	0,007	0,000	0,000	9,2		133,975	12,768	
22.04.2014	11:42:00	0,007	0,000	0,000	9,2		128,249	12,768	
22.04.2014	11:44:00	0,007	0,000	0,000	9,2		131,155	12,767	
22.04.2014	11:46:00	0,007	0,000	0,000	9,2		132,982	12,767	
22.04.2014	11:48:00	0,007	0,000	0,000	9,2		131,674	12,767	
22.04.2014	11:50:00	0,007	0,000	0,000	9,2		127,668	12,767	
22.04.2014	11:52:00	0,007	0,000	0,000	9,2		122,974	12,768	
