NIVUS	STR

CPU32:	V4.10	27/01/14	FLASH : 8000B	DSP   : (1)V1.62 11/10/13 (4)
Datum	04.04.2014	c:\STRxxxxx.txt

		Fenster min[m]:	 0,060
		Fenster max[m]:	 0,990

Datum	Uhrzeit	Füllstand [m]	Geschw. [m/s]	Durchfluss [l/s]	T [°C]	ADC_1 [m]	ADC_2 [mA]	ADC_3 [V]	ADC_4 [m]	

22.04.2014	00:00:00	0,006	0,000	0,000	9,2		131,047	12,789	
22.04.2014	00:02:00	0,006	0,000	0,000	9,2		127,861	12,789	
22.04.2014	00:04:00	0,006	0,000	0,000	9,2		130,450	12,789	
22.04.2014	00:06:00	0,007	0,000	0,000	9,1		130,412	12,789	
22.04.2014	00:08:00	0,007	0,000	0,000	9,1		124,979	12,789	
22.04.2014	00:10:00	0,007	0,000	0,000	9,1		132,471	12,789	
22.04.2014	00:12:00	0,007	0,000	0,000	9,2		133,603	12,789	
22.04.2014	00:14:00	0,007	0,000	0,000	9,2		124,589	12,790	
22.04.2014	00:16:00	0,007	0,000	0,000	9,2		130,659	12,789	
22.04.2014	00:18:00	0,007	0,000	0,000	9,2		130,645	12,789	
22.04.2014	00:20:00	0,007	0,000	0,000	9,2		123,894	12,789	
22.04.2014	00:22:00	0,007	0,000	0,000	9,2		132,726	12,789	
22.04.2014	00:24:00	0,007	0,000	0,000	9,2		134,015	12,789	
22.04.2014	00:26:00	0,007	0,000	0,000	9,2		130,472	12,789	
22.04.2014	00:28:00	0,007	0,000	0,000	9,1		131,595	12,788	
22.04.2014	00:30:00	0,007	0,000	0,000	9,1		132,973	12,789	
22.04.2014	00:32:00	0,007	0,000	0,000	9,1		127,375	12,789	
22.04.2014	00:34:00	0,007	0,000	0,000	9,1		130,157	12,788	
22.04.2014	00:36:00	0,007	0,000	0,000	9,1		130,371	12,788	
22.04.2014	00:38:00	0,007	0,000	0,000	9,1		127,354	12,788	
22.04.2014	00:40:00	0,007	0,000	0,000	9,2		131,201	12,788	
22.04.2014	00:42:00	0,007	0,000	0,000	9,2		133,663	12,789	
22.04.2014	00:44:00	0,007	0,000	0,000	9,2		131,144	12,788	
22.04.2014	00:46:00	0,007	0,000	0,000	9,2		121,216	12,788	
22.04.2014	00:48:00	0,007	0,000	0,000	9,2		130,501	12,788	
22.04.2014	00:50:00	0,007	0,000	0,000	9,2		131,562	12,788	
22.04.2014	00:52:00	0,007	0,000	0,000	9,2		130,501	12,788	
22.04.2014	00:54:00	0,007	0,000	0,000	9,2		130,336	12,788	
22.04.2014	00:56:00	0,007	0,000	0,000	9,2		131,416	12,788	
22.04.2014	00:58:00	0,007	0,000	0,000	9,2		133,603	12,789	
22.04.2014	01:00:00	0,007	0,000	0,000	9,2		130,512	12,788	
22.04.2014	01:02:00	0,007	0,000	0,000	9,2		121,772	12,788	
22.04.2014	01:04:00	0,007	0,000	0,000	9,2		133,831	12,787	
22.04.2014	01:06:00	0,007	0,000	0,000	9,2		130,404	12,787	
22.04.2014	01:08:00	0,007	0,000	0,000	9,2		130,575	12,787	
22.04.2014	01:10:00	0,007	0,000	0,000	9,2		134,100	12,787	
22.04.2014	01:12:00	0,007	0,000	0,000	9,2		127,837	12,788	
22.04.2014	01:14:00	0,007	0,000	0,000	9,2		128,268	12,788	
22.04.2014	01:16:00	0,007	0,000	0,000	9,2		130,241	12,787	
22.04.2014	01:18:00	0,007	0,000	0,000	9,2		127,921	12,787	
22.04.2014	01:20:00	0,007	0,000	0,000	9,2		133,598	12,787	
22.04.2014	01:22:00	0,007	0,000	0,000	9,2		127,310	12,787	
22.04.2014	01:24:00	0,007	0,000	0,000	9,2		130,721	12,786	
22.04.2014	01:26:00	0,007	0,000	0,000	9,2		127,557	12,787	
22.04.2014	01:28:00	0,007	0,000	0,000	9,2		128,843	12,787	
22.04.2014	01:30:00	0,007	0,000	0,000	9,2		129,994	12,787	
22.04.2014	01:32:00	0,007	0,000	0,000	9,2		128,453	12,787	
22.04.2014	01:34:00	0,007	0,000	0,000	9,2		129,177	12,787	
22.04.2014	01:36:00	0,007	0,000	0,000	9,2		128,184	12,786	
22.04.2014	01:38:00	0,007	0,000	0,000	9,2		133,228	12,786	
